PID: 0, Name: [System Process]
PID: 20736, Name: firefox.exe
PID: 18136, Name: dllhost.exe
PID: 14964, Name: firefox.exe
PID: 17024, Name: firefox.exe
PID: 1876, Name: svchost.exe
PID: 18520, Name: RuntimeBroker.exe
PID: 13376, Name: firefox.exe
PID: 2304, Name: firefox.exe
PID: 17032, Name: firefox.exe
PID: 20536, Name: firefox.exe
PID: 4524, Name: firefox.exe
PID: 17500, Name: firefox.exe
PID: 20992, Name: firefox.exe
PID: 6828, Name: pet.exe
PID: 16400, Name: conhost.exe
PID: 20024, Name: conhost.exe
PID: 3360, Name: powershell.exe
PID: 10540, Name: Code.exe
PID: 4724, Name: conhost.exe
PID: 19204, Name: powershell.exe
PID: 19476, Name: cpptools-srv.exe
PID: 8736, Name: conhost.exe
PID: 19492, Name: conhost.exe
PID: 14264, Name: powershell.exe
PID: 10512, Name: OpenConsole.exe
PID: 21448, Name: powershell.exe
PID: 16292, Name: SystemSettings.exe
PID: 19192, Name: svchost.exe
PID: 7676, Name: svchost.exe
PID: 17900, Name: svchost.exe
PID: 7224, Name: svchost.exe
PID: 13992, Name: svchost.exe
PID: 11160, Name: smartscreen.exe
PID: 19680, Name: audiodg.exe
PID: 19788, Name: powershell.exe
PID: 20996, Name: conhost.exe
PID: 18796, Name: SearchProtocolHost.exe
PID: 5808, Name: SearchFilterHost.exe
PID: 20268, Name: controlcpu1.exe
